Entity,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ghana,2016034,2016034,2016034,2016034,2016034,2016034,2016034,2016034,2016034,2016034,2015566,2014632,2013235,2011377,2009060,2006286,2003057,1999376,1995246,1990667,1985643,1980175,1974266,1967917,1961132,1953912,1946259,1938175,1929662,1920723,1911360,1902042,1892770,1883543,1874361,1865224,1856131,1847083,1838078,1829118,1820201,1811328,1802498,1793711,1784967,1776265,1767606,1758989,1750414,1741881,1733408,1724976,1716585,1708235,1699925,1691656,1683427,1675238,1667089,1658980,1651728,1645335,1639802,1635129,1631317,1628367,1626280,1625057,1624699,1625206,1626580,1628822,1627838,1632115,1637350,1643543,1648818,1657727,1667707,1677746,1687685,1697844,1708065,1718204,1728547,1738953,1749295,1759826,1770420,1781078,1791800,1802586,1813438,1824354,1835337,1846385,1857500,1868682,1879932,1891249,1902634,1913973,1925495,1937086,1948747,1960478,1972115,1983987,1995930,2007946,2019985,2032145,2056896,2094619,2145706,2198038,2251647,2306530,2362760,2420361,2479366,2539809,2601726,2665152,2730125,2796681,2864860,2934702,3006245,3079533,3154608,3231513,3310292,3390992,3473660,3558343,3645090,3733952,3824980,3918228,4013748,4111598,4211833,4314511,4419692,4527438,4637811,4750874,4866693,5036000,5140000,5269000,5413000,5569000,5731000,5897000,6069000,6247000,6435000,6635000,6848000,7072000,7300000,7524000,7739000,7941000,8133000,8322000,8520000,8735000,8973000,9230000,9494000,9749000,9986000,10199000,10395000,10590000,10805000,11056000,11348000,11677000,12034000,12406000,12784000,13165000,13552000,13947000,14353000,14773000,15207000,15653000,16107000,16562000,17014000,17463000,17909000,18357000,18812000,19279000,19757000,20246000,20750000,21272000,21815000,22379000,22964000,23564000,24171000,24780000,25388000,25996000,26608000,27224000,27849000,28482000,29121000,29767000,30418000
Greece,2158925,2166723,2174549,2182403,2190286,2198197,2206136,2214105,2222102,2230659,2239319,2248656,2258621,2269262,2280576,2292610,2305315,2318737,2332875,2347727,2363292,2379617,2396700,2414539,2433133,2452481,2472628,2493575,2515318,2537857,2561238,2584857,2608667,2632714,2657000,2681476,2706143,2731095,2756238,2781619,2807238,2833095,2859190,2885524,2912095,2938905,2966000,2993190,3020762,3048571,3076542,3104748,3133238,3161963,3190972,3220217,3249792,3279650,3309602,3339979,3370782,3402059,3433809,3466032,3498729,3531898,3565589,3599753,3634580,3669784,3705510,3741756,3776423,3813760,3851672,3890159,3927579,3967492,4007871,4048718,4088856,4130502,4172545,4214031,4256952,4300254,4343113,4387323,4431983,4477093,4522653,4568754,4615305,4662306,4709757,4756297,4801835,4846371,4889814,4932256,4973606,5016737,5055117,5091941,5127322,5162921,5198162,5234265,5270166,5305864,5341759,5376454,5412144,5449160,5487504,5526176,5565178,5604813,5644705,5716843,5793302,5896357,5950543,5973149,5983786,6026005,6108116,6185573,6260038,6338159,6418276,6498060,6580503,6672587,6770654,6865398,6954489,7044246,7146303,7246365,7307200,7312852,7286922,7281271,7321495,7402941,7544890,7690495,7702796,7669000,7743000,7814000,7883000,7948000,8011000,8071000,8127000,8180000,8229000,8274000,8314000,8351000,8385000,8419000,8454000,8490000,8528000,8569000,8614000,8664000,8717000,8775000,8840000,8919000,9014000,9127000,9255000,9389000,9516000,9627000,9720000,9797000,9861000,9916000,9968000,10015000,10057000,10101000,10156000,10226000,10315000,10420000,10534000,10645000,10746000,10832000,10906000,10970000,11028000,11082000,11134000,11182000,11219000,11235000,11225000,11185000,11120000,11040000,10959000,10888000,10829000,10781000,10741000,10701000,10660000,10615000,10569000,10522000,10473000
Grenada,29409,29409,29409,29409,29409,29409,29409,29409,29409,29409,29414,29425,29440,29461,29488,29519,29556,29598,29646,29699,29757,29821,29891,29965,30046,30132,30223,30320,30422,30530,30644,30758,30873,30987,31103,31219,31335,31452,31569,31686,31804,31912,32009,32097,32174,32240,32297,32343,32379,32404,32423,32461,32521,32603,32707,32834,32983,33156,33354,33576,33823,34082,34365,34671,35000,35354,35731,36133,36559,37010,37485,38013,38554,39101,39672,40267,40789,41409,42058,42735,43281,44048,44869,45582,46530,47519,48541,49628,50710,51787,52858,53921,54977,56025,57063,58092,59045,59949,60804,61608,62359,63214,63840,64393,64874,65280,65683,66094,66508,66820,67169,67244,67149,67054,66958,66863,66768,66666,66566,66466,66476,66598,66830,67063,67297,67531,67767,68003,68240,68478,68717,68956,69197,69438,69680,69923,70167,70412,70657,70903,71151,71399,71648,71897,72148,72698,73553,74719,75904,77000,77000,77000,78000,80000,81000,83000,85000,87000,88000,90000,91000,92000,93000,94000,95000,95000,95000,95000,95000,94000,94000,94000,94000,93000,92000,91000,90000,89000,89000,89000,91000,93000,96000,98000,100000,100000,99000,98000,97000,96000,96000,97000,98000,99000,100000,101000,102000,102000,102000,103000,103000,104000,104000,104000,105000,105000,105000,105000,106000,106000,107000,107000,108000,109000,110000,110000,111000,111000,112000
Guatemala,464961,471035,477189,483423,489738,496136,502618,509184,515836,524190,531007,537881,544813,551803,558851,565959,573126,580352,587638,594985,602393,609861,617391,624983,632638,640354,648134,655977,663884,671855,679891,688022,696251,704579,713005,721533,730163,738895,747733,756676,765729,774894,784173,793566,803075,812701,822446,832312,842299,852410,862754,873226,883829,894565,905434,916439,927581,938862,950284,961848,973356,984800,996180,1007492,1018735,1029904,1040998,1052014,1062950,1073802,1084567,1095244,1106462,1116893,1127204,1137390,1147628,1157365,1166937,1176588,1186111,1195920,1205811,1215596,1225650,1235786,1245842,1256146,1266534,1277009,1287570,1298218,1308954,1319780,1330694,1341933,1353585,1365643,1378099,1390945,1404174,1416932,1431084,1445783,1460901,1476259,1491337,1506892,1522665,1538442,1554293,1570505,1586721,1603653,1620589,1637885,1655186,1672213,1689309,1706762,1724570,1742735,1760899,1779064,1797228,1815749,1834626,1853859,1873092,1899805,1937915,1987422,2033724,2076465,2115643,2161945,2208247,2254549,2300851,2350715,2404140,2454004,2503868,2553731,2610718,2674828,2746062,2824420,2966523,3115000,3212000,3312000,3413000,3518000,3625000,3736000,3850000,3968000,4088000,4211000,4336000,4464000,4596000,4731000,4870000,5013000,5161000,5312000,5466000,5622000,5780000,5942000,6105000,6269000,6434000,6599000,6766000,6934000,7106000,7283000,7466000,7655000,7847000,8043000,8240000,8439000,8639000,8843000,9050000,9264000,9483000,9709000,9939000,10172000,10408000,10647000,10888000,11134000,11387000,11651000,11925000,12209000,12500000,12797000,13096000,13397000,13700000,14006000,14316000,14630000,14949000,15271000,15596000,15923000,16252000,16583000,16915000,17248000,17581000
Guinea,983959,983959,983959,983959,983959,983959,983959,983959,983959,983959,984374,985207,986462,988143,990253,992797,995778,999201,1003068,1007384,1012153,1017379,1023066,1029218,1035839,1042933,1050505,1058558,1067098,1076128,1085652,1095261,1104955,1114734,1124600,1134554,1144595,1154726,1164946,1175256,1185658,1196152,1206739,1217419,1228194,1239065,1250031,1261095,1272256,1283517,1294837,1306257,1317778,1329400,1341125,1352953,1364886,1376924,1389068,1401319,1413678,1426146,1438724,1451413,1464214,1477128,1490156,1503299,1516557,1529933,1543426,1557039,1570365,1584215,1598187,1612283,1626124,1640466,1654934,1669530,1683906,1698758,1713740,1728542,1743787,1759167,1774406,1790056,1805844,1821770,1837838,1854047,1870399,1886895,1903537,1920326,1937262,1954348,1971585,1988973,2006515,2023950,2041801,2059809,2077975,2096302,2114408,2133056,2151869,2170848,2189880,2209194,2228679,2248335,2268164,2288169,2308349,2328804,2349415,2370209,2391187,2412350,2433701,2455241,2476972,2498895,2521011,2543324,2565834,2588543,2611454,2634567,2657884,2681408,2705141,2729083,2753237,2777605,2802189,2826990,2852011,2877253,2902718,2928409,2954328,2980475,3006855,3033467,3060315,3013000,3054000,3096000,3138000,3183000,3230000,3278000,3330000,3383000,3438000,3494000,3552000,3611000,3673000,3736000,3802000,3870000,3941000,4013000,4085000,4155000,4223000,4291000,4357000,4424000,4491000,4559000,4629000,4702000,4782000,4871000,4970000,5077000,5195000,5326000,5471000,5629000,5801000,5982000,6167000,6352000,6535000,6716000,6897000,7081000,7270000,7464000,7662000,7861000,8055000,8241000,8417000,8586000,8753000,8926000,9110000,9307000,9518000,9739000,9964000,10192000,10420000,10652000,10893000,11151000,11432000,11738000,12068000,12414000,12771000
Guinea-Bissau,218167,218167,218167,218167,218167,218167,218167,218167,218167,218167,218236,218376,218585,218865,219217,219640,220135,220703,221344,222059,222848,223712,224650,225665,226755,227922,229167,230489,231889,233367,234926,236494,238073,239662,241262,242873,244495,246127,247770,249424,251090,252766,254454,256153,257863,259584,261317,263062,264818,266586,268485,270397,272322,274261,276214,278181,280161,282156,284165,286188,288225,290277,292343,294424,296520,298631,300756,302897,305053,307224,309411,311613,313784,316017,318266,320531,322769,325066,327379,329708,332015,334378,336757,339117,341530,343960,346376,348840,351322,353821,356338,358872,361425,363996,366585,369192,371818,374462,377125,379807,382508,385200,387939,390698,393476,396274,399050,401888,404745,407623,410508,413427,416366,419326,422307,425309,428332,431130,434009,436906,439823,442760,445716,448692,451687,454703,457739,460795,463871,466968,470086,473224,476384,479564,482766,485989,489234,492500,495788,499098,502430,505785,509161,512561,515983,519428,522896,526387,529901,535000,544000,553000,560000,568000,576000,584000,593000,601000,609000,616000,623000,629000,635000,642000,650000,659000,669000,680000,692000,705000,718000,733000,746000,758000,766000,770000,772000,772000,775000,782000,794000,810000,830000,851000,872000,893000,913000,933000,954000,975000,998000,1020000,1043000,1066000,1089000,1111000,1133000,1154000,1177000,1201000,1227000,1254000,1283000,1313000,1345000,1378000,1412000,1447000,1484000,1523000,1563000,1605000,1648000,1692000,1737000,1782000,1828000,1874000,1921000
Guyana,166034,166034,166034,166034,166034,166034,166034,166034,166034,166034,166089,166198,166363,166584,166861,167195,167586,168034,168539,169103,169726,170407,171148,171948,172809,173730,174712,175756,176862,178030,179260,180500,181747,183004,184269,185542,186825,188116,189417,190726,192045,193372,194709,196055,197410,198775,200149,201532,202925,204328,205705,207091,208487,209892,211307,212731,214165,215608,217061,218524,219996,221479,222972,224474,225987,227510,229043,230587,232141,233705,235280,236866,238424,240031,241648,243277,244881,246531,248193,249865,251517,253212,254918,256608,258337,260078,261805,263570,265346,267134,268934,270746,272570,274407,276256,278117,279991,281878,283777,285690,287615,289530,291480,293444,295422,297412,299383,301400,303431,305475,307524,309596,311682,313782,315896,318024,320167,322399,324628,326872,329131,331406,333697,336004,338327,340665,343020,345391,347779,350183,352604,355041,357495,359966,362455,364960,367483,370023,372581,375157,377750,380361,382990,385638,388304,390988,393691,396412,399152,407000,419000,433000,448000,465000,483000,500000,518000,536000,554000,572000,589000,606000,623000,638000,652000,665000,676000,686000,696000,705000,714000,722000,730000,738000,746000,754000,762000,770000,776000,780000,782000,781000,779000,775000,770000,764000,757000,751000,746000,743000,744000,749000,754000,759000,761000,761000,758000,754000,750000,747000,745000,745000,745000,746000,746000,746000,746000,747000,748000,749000,752000,755000,759000,763000,767000,771000,775000,779000,783000
Haiti,723000,723000,723000,723000,723000,723000,723000,723000,723000,723000,723300,723903,724811,726027,727554,729394,731550,734025,736822,739943,743392,747170,751282,755729,760516,765644,771117,776937,783109,789634,796516,803459,810461,817525,824651,831838,839088,846402,853779,861220,868794,876503,884349,892334,900459,908726,917138,925696,934403,943260,952427,961752,971236,980883,990694,1000672,1010819,1021137,1031629,1042297,1053143,1064100,1075169,1086353,1097651,1109066,1120597,1132248,1144018,1155909,1167922,1180059,1191916,1204299,1216809,1229447,1241833,1254727,1267753,1280915,1293856,1307289,1320860,1334251,1348103,1362098,1375955,1390239,1404672,1419254,1433988,1448875,1463916,1479113,1494468,1510629,1527676,1545594,1564371,1584085,1604723,1624227,1647064,1671073,1696237,1721857,1746857,1773188,1799933,1827089,1854457,1882372,1911980,1943282,1976279,2009623,2043652,2077578,2112288,2144977,2175980,2204625,2233944,2263262,2293255,2323247,2353914,2384918,2416595,2448273,2480287,2512302,2544654,2577342,2610368,2643730,2677430,2711466,2746177,2781224,2816272,2851656,2887378,2923774,2959158,2993532,3027231,3061268,3137859,3221000,3274000,3330000,3389000,3450000,3514000,3580000,3649000,3719000,3792000,3866000,3942000,4019000,4098000,4178000,4259000,4341000,4425000,4510000,4594000,4676000,4757000,4837000,4919000,5004000,5095000,5192000,5295000,5404000,5520000,5643000,5773000,5910000,6052000,6195000,6337000,6479000,6619000,6758000,6898000,7038000,7179000,7319000,7461000,7602000,7745000,7887000,8031000,8175000,8319000,8464000,8609000,8754000,8900000,9047000,9195000,9345000,9495000,9647000,9798000,9949000,10100000,10251000,10401000,10549000,10696000,10840000,10982000,11123000,11263000
Honduras,130000,130258,130517,130777,131037,131298,131559,131820,132082,132182,132812,133472,134340,135424,136732,138270,140046,142069,144348,146889,149703,152799,156186,159874,163872,168192,172844,177839,183189,188905,195000,201292,207787,214491,221412,228555,235930,243542,251400,259511,267466,275258,282877,290314,297562,304611,311451,318073,324465,330619,336795,342718,348377,353758,358848,363634,368101,372235,376019,379439,382478,385538,388622,391729,394859,398012,401190,404390,407615,410864,414137,417435,420693,424039,427410,430806,434165,437610,441080,444578,448043,451595,455175,458729,462366,466030,469676,473398,477150,480930,484741,488581,492451,496352,500283,504947,510341,516467,523417,531097,539601,547072,557703,569333,582078,595075,607650,621314,635207,649332,663617,678484,691621,703024,712339,722018,731360,740308,749443,762795,783525,811633,839742,867850,895959,920554,941635,959203,980284,1001366,1022447,1043529,1061096,1078664,1096232,1117313,1138395,1159476,1184071,1208666,1236775,1257856,1282451,1303532,1331641,1359749,1391371,1426507,1485266,1547000,1589000,1632000,1677000,1723000,1771000,1822000,1873000,1927000,1982000,2039000,2096000,2156000,2217000,2280000,2346000,2415000,2486000,2561000,2638000,2717000,2798000,2882000,2969000,3059000,3153000,3251000,3353000,3458000,3567000,3678000,3793000,3911000,4031000,4155000,4281000,4410000,4542000,4677000,4815000,4955000,5099000,5245000,5394000,5549000,5709000,5875000,6046000,6220000,6397000,6575000,6752000,6929000,7106000,7283000,7459000,7634000,7809000,7981000,8151000,8317000,8481000,8641000,8799000,8956000,9113000,9271000,9429000,9588000,9746000
Hong Kong,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20016,20048,20097,20163,20246,20346,20464,20600,20755,20928,21120,21331,21562,21812,22083,22375,22688,23021,23377,23754,24154,24561,24974,25394,25822,26257,26699,27148,27605,28070,28622,29270,30021,30882,31863,32971,34218,35613,37167,38893,40809,42924,45251,47808,50611,53677,57026,60678,64656,68983,73450,77980,82571,87221,91925,96681,101484,106329,111212,116126,121066,126024,131374,136325,141241,146109,150992,155525,159914,164427,168722,173484,178380,183086,188391,193988,199223,205352,211835,218690,225933,233582,241658,250178,259164,268636,278455,288631,299180,310113,321445,332485,344633,357225,370276,383805,396644,411136,426157,441726,457475,474189,492280,511889,533151,555429,578723,602920,628154,637575,642958,649687,673575,702846,716977,726734,736155,761389,793688,822959,861988,896306,931297,953166,975035,1088756,1261355,1517731,1687302,1741134,1697665,1636028,1617861,1599896,1582131,1637644,1715901,1819191,1894556,1974000,2058000,2150000,2251000,2359000,2473000,2591000,2710000,2828000,2941000,3046000,3143000,3230000,3311000,3390000,3467000,3546000,3625000,3703000,3778000,3849000,3914000,3974000,4038000,4114000,4209000,4326000,4462000,4607000,4746000,4869000,4972000,5058000,5134000,5208000,5287000,5373000,5465000,5557000,5646000,5728000,5800000,5865000,5928000,6000000,6084000,6186000,6300000,6417000,6522000,6606000,6665000,6702000,6725000,6745000,6770000,6802000,6840000,6882000,6925000,6966000,7007000,7047000,7089000,7135000,7186000,7244000,7306000,7372000,7436000
Hungary,3529548,3559579,3589865,3620408,3651212,3682278,3713608,3745204,3777070,3814221,3846440,3878698,3910994,3943326,3975693,4008094,4040526,4072988,4105480,4137998,4170542,4203110,4235701,4268312,4300942,4333590,4366253,4398929,4431618,4464317,4497023,4529970,4563157,4596588,4630264,4664186,4698357,4732779,4767452,4802380,4837448,4872658,4908009,4943501,4979136,5014912,5050831,5086893,5123097,5159444,5195787,5232272,5268898,5305666,5342575,5379627,5416821,5454157,5491635,5529257,5566679,5604013,5641256,5678406,5715459,5752414,5789268,5826018,5862662,5899196,5935618,5971925,6009025,6044984,6080783,6116417,6151997,6186964,6221709,6256649,6291253,6326584,6362113,6397368,6434176,6472078,6508480,6548178,6589164,6631452,6675058,6719998,6766286,6813938,6862970,6913173,6963517,7014002,7064627,7115393,7166298,7217262,7268322,7319467,7370697,7422286,7473380,7525687,7580569,7638063,7695665,7760666,7809304,7841410,7856811,7872242,7887704,7903494,7919241,7956033,8012197,8086390,8153929,8219139,8289007,8362867,8436395,8502936,8567814,8635353,8702559,8768767,8833977,8900518,8966394,9028942,9089495,9149714,9209601,9268490,9324717,9376286,9427190,9303424,9170342,9031271,9075854,9145056,9231135,9338000,9481000,9598000,9693000,9769000,9828000,9876000,9913000,9945000,9973000,10001000,10030000,10063000,10097000,10133000,10170000,10208000,10249000,10290000,10329000,10366000,10398000,10426000,10454000,10486000,10527000,10578000,10637000,10693000,10735000,10754000,10746000,10716000,10669000,10617000,10566000,10519000,10475000,10435000,10402000,10377000,10363000,10359000,10359000,10358000,10349000,10332000,10308000,10280000,10249000,10221000,10193000,10167000,10141000,10114000,10086000,10056000,10024000,9992000,9959000,9927000,9896000,9864000,9834000,9805000,9778000,9753000,9730000,9708000,9685000
